Euring;Sortering;Artnavn;Latin;English;Status;Type
01845;920;"Amerikansk Krikand";"Anas carolinensis";"Green-winged Teal";AS;art
01950;930;Marmorand;"Marmaronetta angustirostris";"Marbled Duck";EU;art
01960;940;"Rødhovedet And";"Netta rufina";"Red-crested Pochard";AS;art
01969;950;"Rødhovedet And x Taffeland (hybrid)";"Netta rufina x Aythya ferina";"Red-crested Pochard x Common Pochard";H;hybrid
01980;960;Taffeland;"Aythya ferina";"Common Pochard";A;art
01989;970;"Taffeland x Troldand (hybrid)";"Aythya ferina x A. fuligula";"Common Pochard x Tufted Duck";H;hybrid
02020;980;"Hvidøjet And";"Aythya nyroca";"Ferruginous Duck";AS;art
02028;990;"Hvidøjet And x Troldand (hybrid)";"Aythya nyroca x A. fuligula";"Ferruginous Duck x Tufted Duck";H;hybrid
02029;1000;"Hvidøjet And x Taffeland (hybrid)";"Aythya nyroca x A. ferina";"Ferruginous Duck x Common Pochard";H;hybrid
02000;1010;Halsbåndstroldand;"Aythya collaris";"Ring-necked Duck";AU;art
02005;1020;"Halsbåndstroldand x Troldand (hybrid)";"Aythya collaris x A. fuligula";"Ring-necked Duck x Tufted Duck";HU;hybrid
02030;1030;Troldand;"Aythya fuligula";"Tufted Duck";A;art
02038;1040;Troldand/Bjergand;"Aythya fuligula/A. marila";"Tufted Duck/Greater Scaup";H;ubestemt
02039;1050;"Troldand x Bjergand (hybrid)";"Aythya fuligula x A. marila";"Tufted Duck x Greater Scaup";H;hybrid
02040;1060;Bjergand;"Aythya marila";"Greater Scaup";A;art
02050;1070;"Lille Bjergand";"Aythya affinis";"Lesser Scaup";AU;art
02051;1080;"Lille Bjergand x Troldand (hybrid)";"Aythya affinis x A. fuligula";"Lesser Scaup x Tufted Duck";HU;hybrid
02058;1090;"Dykand hybrid";"Aythya sp. x Aythya sp.";"Duck hybrid (Aythya)";H;hybrid
02059;1100;"Dykand sp. (Aythya sp.)";"Aythya sp.";"Duck sp. (Aythya)";H;ubestemt
02090;1110;Stellersand;"Polysticta stelleri";"Steller's Eider";AU;art
02070;1120;Kongeederfugl;"Somateria spectabilis";"King Eider";AS;art
02078;1130;"Kongeederfugl x Ederfugl (hybrid)";"Somateria spectabilis x S. mollissima";"King Eider x Common Eider";H;hybrid
02060;1140;Ederfugl;"Somateria mollissima";"Common Eider";A;art
02063;1150;"Ederfugl, Arktisk (ssp. borealis)";"Somateria mollissima borealis";"Common Eider (ssp. borealis)";AU;underart
02140;1160;Brilleand;"Melanitta perspicillata";"Surf Scoter";AS;art
02150;1170;Fløjlsand;"Melanitta fusca";"Velvet Scoter";A;art
02153;1180;"Amerikansk Fløjlsand";"Melanitta deglandi";"White-winged Scoter";AU;art
02152;1190;"Asiatisk Fløjlsand";"Melanitta stejnegeri";"Stejneger's Scoter";AU;art
02130;1200;Sortand;"Melanitta nigra";"Common Scoter";A;art
02132;1210;"Amerikansk Sortand";"Melanitta americana";"Black Scoter";AS;art
02120;1220;Havlit;"Clangula hyemalis";"Long-tailed Duck";A;art
02160;1230;Bøffeland;"Bucephala albeola";Bufflehead;DU;art
02180;1240;Hvinand;"Bucephala clangula";"Common Goldeneye";A;art
02189;1250;"Hvinand x Lille Skallesluger (hybrid)";"Bucephala clangula x Mergellus albellus";"Common Goldeneye x Smew";H;hybrid
02200;1260;"Lille Skallesluger";"Mergellus albellus";Smew;A;art
02190;1270;Hjelmskallesluger;"Lophodytes cucullatus";"Hooded Merganser";DU;art
02230;1280;"Stor Skallesluger";"Mergus merganser";"Common Merganser";A;art
02210;1290;"Toppet Skallesluger";"Mergus serrator";"Red-breasted Merganser";A;art
02218;1300;"Toppet Skallesluger/Stor Skallesluger";"Mergus serrator/M. merganser";"Red-breasted Merganser/Common Merganser";H;ubestemt
02239;1310;"Skallesluger sp.";"Mergus sp.";"Merganser sp.";H;ubestemt
02268;1320;"Dykand sp. (Mergini)";Mergini;"Duck sp. (Mergini)";H;ubestemt
02269;1330;"Andefugl sp.";Anatidae;"Swan/Goose/Duck sp.";H;ubestemt
02250;1340;"Amerikansk Skarveand";"Oxyura jamaicensis";"Ruddy Duck";CU;art
02260;1350;"Hvidhovedet Skarveand";"Oxyura leucocephala";"White-headed Duck";AU;art
03350;1360;Tjur;"Tetrao urogallus";"Western Capercaillie";E;art
03320;1370;Urfugl;"Lyrurus tetrix";"Black Grouse";AU;art
03670;1380;Agerhøne;"Perdix perdix";"Grey Partridge";A;art
03930;1390;Kongefasan;"Syrmaticus reevesii";"Reeves's Pheasant";E;art
03960;1400;Guldfasan;"Chrysolophus pictus";"Golden Pheasant";E;art
03940;1410;Fasan;"Phasianus colchicus";"Common Pheasant";C;art
35670;1420;Påfugl;"Pavo cristatus";"Indian Peafowl";E;art
03700;1430;Vagtel;"Coturnix coturnix";"Common Quail";A;art
03580;1440;Rødhøne;"Alectoris rufa";"Red-legged Partridge";E;art
03550;1450;Chukarhøne;"Alectoris chukar";"Chukar Partridge";E;art
07790;1460;"Rødhalset Natravn";"Caprimulgus ruficollis";"Red-necked Nightjar";U;art
07780;1470;Natravn;"Caprimulgus europaeus";"European Nightjar";A;art
07810;1480;Ørkennatravn;"Caprimulgus aegyptius";"Egyptian Nightjar";AU;art
07920;1490;Tornhalesejler;"Hirundapus caudacutus";"White-throated Needletail";AU;art
07980;1500;Alpesejler;"Tachymarptis melba";"Alpine Swift";AU;art
07950;1510;Mursejler;"Apus apus";"Common Swift";A;art
08009;1520;"Sejler sp.";"Apus sp.";"Swift sp.";H;ubestemt
07960;1530;Gråsejler;"Apus pallidus";"Pallid Swift";AU;art
07970;1540;Orientsejler;"Apus pacificus";"Pacific Swift";AU;art
08000;1550;"Lille Sejler";"Apus affinis";"Little Swift";AU;art
07990;1560;Kaffersejler;"Apus caffer";"White-rumped Swift";AU;art
04460;1570;Stortrappe;"Otis tarda";"Great Bustard";AU;art
04445;1580;"Østlig Kravetrappe";"Chlamydotis macqueenii";"Macqueen's Bustard";BU;art
04420;1590;Dværgtrappe;"Tetrax tetrax";"Little Bustard";AU;art
07160;1600;Skadegøg;"Clamator glandarius";"Great Spotted Cuckoo";AU;art
